campaign_id,channel,campaign_name,spend,impressions,clicks,conversions,revenue,date,month,ctr,conversion_rate,cac,roas
CMP0002,Facebook Ads,New Launch,12009.39,,963.0,104.0,1362.8,2024-05-29,2024-05,,10.8,115.47,0.11
CMP0003,Facebook Ads,Flash Sale,14303.48,24190.0,644.0,5.0,22080.11,2024-07-05,2024-07,2.66,0.78,2860.7,1.54
CMP0006,Email,Summer Sale,7627.32,160619.0,2148.0,28.0,6803.67,2024-01-24,2024-01,1.34,1.3,272.4,0.89
CMP0007,Instagram,Brand Awareness,13980.7,46617.0,700.0,95.0,1467.89,2024-08-25,2024-08,1.5,13.57,147.17,0.1
CMP0008,Email,New Launch,14440.73,99450.0,1429.0,62.0,2773.41,2024-06-17,2024-06,1.44,4.34,232.92,0.19
CMP0009,Email,Summer Sale,12636.48,10112.0,1066.0,43.0,34815.43,2024-07-17,2024-07,10.54,4.03,293.87,2.76
CMP0013,Email,New Launch,1542.4,,1162.0,101.0,8784.32,2024-07-01,2024-07,,8.69,15.27,5.7
CMP0014,Google Ads,Flash Sale,11290.88,196444.0,2483.0,2.0,34578.52,2024-02-17,2024-02,1.26,0.08,5645.44,3.06
CMP0015,Google Ads,Diwali Offer,14478.03,41939.0,181.0,75.0,32122.94,2024-05-25,2024-05,0.43,41.44,193.04,2.22
CMP0019,Email,New Launch,6284.62,172529.0,943.0,122.0,14921.11,2024-07-04,2024-07,0.55,12.94,51.51,2.37
CMP0020,Instagram,New Launch,7477.4,,1263.0,1.0,8081.45,2024-02-25,2024-02,,0.08,7477.4,1.08
CMP0023,Email,New Launch,14140.61,175523.0,1799.0,44.0,24868.44,2024-06-25,2024-06,1.02,2.45,321.38,1.76
CMP0026,Google Ads,Retargeting,6343.08,,932.0,4.0,2920.48,2024-01-13,2024-01,,0.43,1585.77,0.46
CMP0028,Facebook Ads,Summer Sale,10188.62,50750.0,412.0,90.0,1485.91,2024-12-06,2024-12,0.81,21.84,113.21,0.15
CMP0029,Email,New Launch,970.37,108064.0,1478.0,49.0,20983.2,2024-06-23,2024-06,1.37,3.32,19.8,21.62
CMP0030,Google Ads,Brand Awareness,1086.93,169449.0,2191.0,94.0,6480.42,2024-07-30,2024-07,1.29,4.29,11.56,5.96
CMP0032,Instagram,Summer Sale,13741.49,199095.0,1096.0,41.0,38979.68,2024-08-27,2024-08,0.55,3.74,335.16,2.84
CMP0034,Facebook Ads,Retargeting,14341.98,195443.0,2735.0,136.0,35803.0,2024-05-26,2024-05,1.4,4.97,105.46,2.5
CMP0035,Google Ads,Flash Sale,6651.76,171597.0,2036.0,47.0,15121.6,2024-02-01,2024-02,1.19,2.31,141.53,2.27
CMP0036,LinkedIn Ads,Retargeting,3484.27,80144.0,1386.0,0.0,15074.92,2024-03-08,2024-03,1.73,0.0,,4.33
CMP0037,Instagram,Brand Awareness,12570.11,193451.0,2000.0,123.0,0.0,2024-01-01,2024-01,1.03,6.15,102.2,0.0
CMP0038,Instagram,Retargeting,5637.5,182674.0,1844.0,65.0,14996.61,2024-02-03,2024-02,1.01,3.52,86.73,2.66
CMP0039,Facebook Ads,New Launch,9133.12,66198.0,326.0,37.0,37407.61,2024-07-19,2024-07,0.49,11.35,246.84,4.1
CMP0040,Google Ads,Brand Awareness,3500.97,9430.0,2930.0,0.0,20903.59,2024-06-06,2024-06,31.07,0.0,,5.97
CMP0044,Instagram,Diwali Offer,3623.21,3711.0,774.0,39.0,4470.25,2024-03-24,2024-03,20.86,5.04,92.9,1.23
CMP0045,Email,Summer Sale,11532.61,5713.0,2875.0,62.0,22721.01,2024-01-30,2024-01,50.32,2.16,186.01,1.97
CMP0047,Email,New Launch,1050.23,189666.0,1062.0,41.0,14843.38,2024-07-16,2024-07,0.56,3.86,25.62,14.13
CMP0048,Instagram,Summer Sale,2173.88,37174.0,2003.0,38.0,15618.73,2024-03-08,2024-03,5.39,1.9,57.21,7.18
CMP0050,Instagram,Brand Awareness,5286.23,53494.0,86.0,55.0,34738.93,2024-01-12,2024-01,0.16,63.95,96.11,6.57
CMP0051,Email,New Launch,11177.67,184801.0,1547.0,46.0,19204.76,2024-06-19,2024-06,0.84,2.97,242.99,1.72
CMP0052,Google Ads,Diwali Offer,10348.99,21589.0,2778.0,62.0,12164.64,2024-08-16,2024-08,12.87,2.23,166.92,1.18
CMP0053,Email,Summer Sale,9575.77,161568.0,1103.0,59.0,34885.07,2024-07-29,2024-07,0.68,5.35,162.3,3.64
CMP0055,Google Ads,Flash Sale,558.2,125092.0,1871.0,83.0,20414.22,2024-04-08,2024-04,1.5,4.44,6.73,36.57
CMP0057,Instagram,Diwali Offer,2458.7,166716.0,2591.0,23.0,31337.6,2024-06-09,2024-06,1.55,0.89,106.9,12.75
CMP0058,Google Ads,Diwali Offer,10552.94,46481.0,182.0,141.0,5127.3,2024-03-28,2024-03,0.39,77.47,74.84,0.49
CMP0059,Google Ads,Summer Sale,3020.26,57781.0,1698.0,98.0,34195.67,2024-07-02,2024-07,2.94,5.77,30.82,11.32
CMP0060,Google Ads,Diwali Offer,5157.34,,1784.0,21.0,35993.19,2024-07-05,2024-07,,1.18,245.59,6.98
CMP0064,Google Ads,Retargeting,9979.42,196219.0,1453.0,136.0,36456.75,2024-08-25,2024-08,0.74,9.36,73.38,3.65
CMP0065,Email,Diwali Offer,7353.47,125040.0,999.0,49.0,12615.19,2024-08-15,2024-08,0.8,4.9,150.07,1.72
CMP0066,LinkedIn Ads,Retargeting,11411.55,,1091.0,0.0,0.0,2024-07-09,2024-07,,0.0,,0.0
CMP0067,Email,Retargeting,9152.81,159592.0,2066.0,29.0,22526.36,2024-02-17,2024-02,1.29,1.4,315.61,2.46
CMP0068,Facebook Ads,Brand Awareness,11658.43,113777.0,2619.0,101.0,27696.29,2024-05-17,2024-05,2.3,3.86,115.43,2.38
CMP0070,Instagram,Diwali Offer,5924.38,70125.0,1762.0,59.0,4131.8,2024-01-16,2024-01,2.51,3.35,100.41,0.7
CMP0075,Facebook Ads,Retargeting,6277.15,162997.0,1972.0,105.0,36359.67,2024-01-23,2024-01,1.21,5.32,59.78,5.79
CMP0076,Instagram,New Launch,7347.93,194223.0,2301.0,0.0,35617.27,2024-08-07,2024-08,1.18,0.0,,4.85
CMP0077,Instagram,Diwali Offer,12695.49,,1169.0,0.0,2788.51,2024-07-25,2024-07,,0.0,,0.22
CMP0080,Google Ads,Retargeting,12049.55,170989.0,854.0,13.0,15892.29,2024-07-02,2024-07,0.5,1.52,926.89,1.32
CMP0084,Facebook Ads,Diwali Offer,7918.4,,2535.0,66.0,25527.92,2024-02-13,2024-02,,2.6,119.98,3.22
CMP0088,Instagram,Diwali Offer,6093.66,90358.0,2468.0,8.0,10666.69,2024-09-01,2024-09,2.73,0.32,761.71,1.75
CMP0089,Email,New Launch,9866.18,195763.0,645.0,146.0,18420.32,2024-11-06,2024-11,0.33,22.64,67.58,1.87
CMP0090,LinkedIn Ads,New Launch,12556.29,60712.0,1794.0,132.0,13658.47,2024-04-18,2024-04,2.95,7.36,95.12,1.09
CMP0092,Instagram,Retargeting,3046.68,127945.0,1798.0,131.0,24129.74,2024-04-28,2024-04,1.41,7.29,23.26,7.92
CMP0093,Facebook Ads,Retargeting,2986.97,149472.0,625.0,0.0,34736.84,2024-06-05,2024-06,0.42,0.0,,11.63
CMP0094,Google Ads,Retargeting,5000.37,85917.0,928.0,137.0,24008.79,2024-03-21,2024-03,1.08,14.76,36.5,4.8
CMP0095,Email,Diwali Offer,6977.28,190734.0,699.0,52.0,26976.28,2024-06-17,2024-06,0.37,7.44,134.18,3.87
CMP0096,Email,New Launch,9517.72,178929.0,78.0,8.0,0.0,2024-06-09,2024-06,0.04,10.26,1189.71,0.0
CMP0097,Facebook Ads,Summer Sale,8704.02,52648.0,1422.0,131.0,7081.7,2024-02-20,2024-02,2.7,9.21,66.44,0.81
CMP0098,Instagram,Brand Awareness,8319.86,,2641.0,33.0,19317.56,2024-04-11,2024-04,,1.25,252.12,2.32
CMP0099,Instagram,Flash Sale,10918.87,,1583.0,9.0,19211.98,2024-08-04,2024-08,,0.57,1213.21,1.76
CMP0101,Instagram,Summer Sale,3392.26,168689.0,540.0,114.0,10374.59,2024-01-27,2024-01,0.32,21.11,29.76,3.06
CMP0102,Facebook Ads,Diwali Offer,1585.71,19784.0,1538.0,58.0,19179.95,2024-02-10,2024-02,7.77,3.77,27.34,12.1
CMP0104,Email,Flash Sale,2802.32,117601.0,965.0,116.0,22609.66,2024-08-04,2024-08,0.82,12.02,24.16,8.07
CMP0105,Facebook Ads,Diwali Offer,3453.47,61765.0,2886.0,0.0,36403.84,2024-08-23,2024-08,4.67,0.0,,10.54
CMP0108,Google Ads,New Launch,2666.99,103011.0,2989.0,0.0,30034.31,2024-08-19,2024-08,2.9,0.0,,11.26
CMP0109,Facebook Ads,Retargeting,2061.05,132242.0,1877.0,125.0,14782.71,2024-03-03,2024-03,1.42,6.66,16.49,7.17
CMP0110,Facebook Ads,Brand Awareness,13087.32,49495.0,2708.0,69.0,24055.59,2024-08-04,2024-08,5.47,2.55,189.67,1.84
CMP0111,Google Ads,Brand Awareness,4514.48,98665.0,2965.0,106.0,4040.54,2024-08-25,2024-08,3.01,3.58,42.59,0.9
CMP0112,Instagram,Summer Sale,13740.98,59021.0,2895.0,60.0,0.0,2024-01-29,2024-01,4.91,2.07,229.02,0.0
CMP0113,Email,Flash Sale,9020.23,107076.0,1644.0,40.0,37908.84,2024-01-09,2024-01,1.54,2.43,225.51,4.2
CMP0114,Facebook Ads,Brand Awareness,4112.82,9721.0,916.0,107.0,15025.73,2024-02-21,2024-02,9.42,11.68,38.44,3.65
CMP0115,Instagram,Brand Awareness,10365.35,19226.0,545.0,59.0,0.0,2024-08-07,2024-08,2.83,10.83,175.68,0.0
CMP0116,Email,Summer Sale,1675.32,198343.0,1844.0,29.0,0.0,2024-01-30,2024-01,0.93,1.57,57.77,0.0
CMP0117,Instagram,Diwali Offer,10056.96,18717.0,949.0,111.0,35966.91,2024-07-07,2024-07,5.07,11.7,90.6,3.58
CMP0120,Google Ads,Flash Sale,4712.71,155185.0,2544.0,22.0,15164.43,2024-05-23,2024-05,1.64,0.86,214.21,3.22
CMP0125,Email,New Launch,3410.95,51912.0,2727.0,97.0,38500.63,2024-02-27,2024-02,5.25,3.56,35.16,11.29
CMP0126,LinkedIn Ads,Summer Sale,1254.75,45209.0,1905.0,39.0,7277.59,2024-01-15,2024-01,4.21,2.05,32.17,5.8
CMP0127,Instagram,Brand Awareness,13733.19,177923.0,2604.0,119.0,0.0,2024-07-14,2024-07,1.46,4.57,115.4,0.0
CMP0128,Facebook Ads,New Launch,4470.73,16850.0,1439.0,69.0,15233.45,2024-09-04,2024-09,8.54,4.79,64.79,3.41
CMP0130,Google Ads,Summer Sale,13506.71,90929.0,1544.0,0.0,16958.7,2024-04-05,2024-04,1.7,0.0,,1.26
CMP0132,Instagram,Flash Sale,4030.03,35654.0,1087.0,34.0,38150.67,2024-04-23,2024-04,3.05,3.13,118.53,9.47
CMP0133,Email,Brand Awareness,7045.9,157520.0,2214.0,80.0,31481.77,2024-01-05,2024-01,1.41,3.61,88.07,4.47
CMP0134,Google Ads,New Launch,6848.28,165284.0,313.0,0.0,34691.61,2024-06-15,2024-06,0.19,0.0,,5.07
CMP0135,Google Ads,Retargeting,12705.36,60471.0,1417.0,26.0,26418.67,2024-09-02,2024-09,2.34,1.83,488.67,2.08
CMP0136,Google Ads,Diwali Offer,11118.95,,621.0,28.0,37732.26,2024-11-03,2024-11,,4.51,397.11,3.39
CMP0137,Email,Brand Awareness,6432.54,54706.0,134.0,64.0,6324.3,2024-03-24,2024-03,0.24,47.76,100.51,0.98
CMP0138,Instagram,Summer Sale,13765.82,182970.0,1369.0,147.0,38104.72,2024-05-08,2024-05,0.75,10.74,93.65,2.77
CMP0139,Instagram,Diwali Offer,12146.63,13904.0,257.0,116.0,21679.63,2024-02-03,2024-02,1.85,45.14,104.71,1.78
CMP0140,Instagram,Summer Sale,10797.0,,2258.0,117.0,20882.74,2024-03-28,2024-03,,5.18,92.28,1.93
CMP0141,Email,Brand Awareness,7758.17,64801.0,700.0,93.0,11529.94,2024-07-21,2024-07,1.08,13.29,83.42,1.49
CMP0142,Google Ads,Flash Sale,5021.98,160812.0,2606.0,43.0,12710.28,2024-07-08,2024-07,1.62,1.65,116.79,2.53
CMP0145,LinkedIn Ads,New Launch,8144.0,19258.0,2085.0,46.0,25319.3,2024-07-14,2024-07,10.83,2.21,177.04,3.11
CMP0146,Google Ads,Flash Sale,9208.28,112729.0,2232.0,0.0,20763.03,2024-02-02,2024-02,1.98,0.0,,2.25
CMP0147,Google Ads,Flash Sale,3042.98,76553.0,1817.0,0.0,27820.72,2024-09-05,2024-09,2.37,0.0,,9.14
CMP0148,Email,New Launch,2319.4,87184.0,1509.0,120.0,39440.01,2024-02-06,2024-02,1.73,7.95,19.33,17.0
