campaign_id,date,channel,campaign_name,spend,impressions,clicks,conversions,revenue
CMP0001,12/02/2024,Email,Flash Sale,,135337,1954,135,127.23
CMP0002,29/05/2024,facebook ads,New Launch,12009.39,,963,104,1362.8
CMP0003,05/07/2024,facebook ads,Flash Sale,14303.48,24190,644,5,22080.11
CMP0004,2024-05-04,Google Ads,Flash Sale,,52741,972,,2837.07
CMP0005,23/05/2024,google ads,Diwali Offer,,119311,1687,,15463.73
CMP0006,2024-01-24,email,Summer Sale,7627.32,160619,2148,28,6803.67
CMP0007,25/08/2024,instagram,Brand Awareness,13980.7,46617,700,95,1467.89
CMP0008,2024-06-17,Email,New Launch,14440.73,99450,1429,62,2773.41
CMP0009,07/17/2024,email,Summer Sale,12636.48,10112,1066,43,34815.43
CMP0010,2024-02-07,email,Summer Sale,-200,126584,,,14628.99
CMP0011,04/04/2024,Email,Retargeting,,155248,1271,2,5035.31
CMP0012,03/08/2024,instagram,Flash Sale,-200,107327,1734,35,3793.57
CMP0013,01/07/2024,email,New Launch,1542.4,,1162,101,8784.32
CMP0014,17/02/2024,google ads,Flash Sale,11290.88,196444,2483,2,34578.52
CMP0015,2024-05-25,google ads,Diwali Offer,14478.03,41939,181,75,32122.94
CMP0016,2024-05-26,LinkedIn Ads,Brand Awareness,1370.74,82305,-5,134,7582.1
CMP0017,2024-03-24,instagram,Summer Sale,-200,171842,,114,37882.03
CMP0018,29/06/2024,email,Brand Awareness,,13797,298,10,28167.17
CMP0019,04/07/2024,email,New Launch,6284.62,172529,943,122,14921.11
CMP0020,25/02/2024,Instagram,New Launch,7477.4,,1263,1,8081.45
CMP0021,2024-07-02,facebook ads,Brand Awareness,3042.12,195604,-5,,6657.68
CMP0022,22/06/2024,instagram,Flash Sale,8934.29,85439,-5,,20281.96
CMP0023,25/06/2024,Email,New Launch,14140.61,175523,1799,44,24868.44
CMP0024,2024-09-06,Facebook Ads,Diwali Offer,-200,20628,2896,10,17649.44
CMP0025,01/02/2024,Google Ads,Summer Sale,14606.18,98004,,146,32893.86
CMP0026,13/01/2024,google ads,Retargeting,6343.08,,932,4,2920.48
CMP0027,08/01/2024,google ads,New Launch,,129815,2494,86,6138.84
CMP0028,06/12/2024,Facebook Ads,Summer Sale,10188.62,50750,412,90,1485.91
CMP0029,06/23/2024,Email,New Launch,970.37,108064,1478,49,20983.2
CMP0030,2024-07-30,google ads,Brand Awareness,1086.93,169449,2191,94,6480.42
CMP0031,2024-07-25,Instagram,Flash Sale,1307.08,140789,,,
CMP0032,08/27/2024,instagram,Summer Sale,13741.49,199095,1096,41,38979.68
CMP0033,2024-04-15,google ads,Brand Awareness,8545.46,63880,,45,26874.72
CMP0034,2024-05-26,Facebook Ads,Retargeting,14341.98,195443,2735,136,35803.0
CMP0035,2024-02-01,google ads,Flash Sale,6651.76,171597,2036,47,15121.6
CMP0036,2024-03-08,LinkedIn Ads,Retargeting,3484.27,80144,1386,,15074.92
CMP0037,01/01/2024,Instagram,Brand Awareness,12570.11,193451,2000,123,
CMP0038,03/02/2024,instagram,Retargeting,5637.5,182674,1844,65,14996.61
CMP0039,19/07/2024,facebook ads,New Launch,9133.12,66198,326,37,37407.61
CMP0040,06/06/2024,google ads,Brand Awareness,3500.97,9430,2930,,20903.59
CMP0041,2024-08-03,Instagram,Summer Sale,,158774,257,,9299.11
CMP0042,05/04/2024,LinkedIn Ads,Brand Awareness,5921.53,38389,-5,113,18276.7
CMP0043,27/02/2024,google ads,Summer Sale,,153838,916,88,6602.92
CMP0044,03/24/2024,instagram,Diwali Offer,3623.21,3711,774,39,4470.25
CMP0045,01/30/2024,Email,Summer Sale,11532.61,5713,2875,62,22721.01
CMP0046,04/20/2024,LinkedIn Ads,Flash Sale,10120.92,181101,-5,106,19936.95
CMP0047,07/16/2024,email,New Launch,1050.23,189666,1062,41,14843.38
CMP0048,08/03/2024,Instagram,Summer Sale,2173.88,37174,2003,38,15618.73
CMP0049,22/06/2024,google ads,Summer Sale,,28867,1751,121,35327.84
CMP0050,12/01/2024,Instagram,Brand Awareness,5286.23,53494,86,55,34738.93
CMP0051,2024-06-19,email,New Launch,11177.67,184801,1547,46,19204.76
CMP0052,08/16/2024,Google Ads,Diwali Offer,10348.99,21589,2778,62,12164.64
CMP0053,2024-07-29,Email,Summer Sale,9575.77,161568,1103,59,34885.07
CMP0054,29/07/2024,google ads,Retargeting,9938.38,,-5,97,11795.35
CMP0055,2024-04-08,Google Ads,Flash Sale,558.2,125092,1871,83,20414.22
CMP0056,04/24/2024,Instagram,Retargeting,-200,92471,2279,104,39176.57
CMP0057,09/06/2024,Instagram,Diwali Offer,2458.7,166716,2591,23,31337.6
CMP0058,2024-03-28,Google Ads,Diwali Offer,10552.94,46481,182,141,5127.3
CMP0059,2024-07-02,google ads,Summer Sale,3020.26,57781,1698,98,34195.67
CMP0060,2024-07-05,google ads,Diwali Offer,5157.34,,1784,21,35993.19
CMP0061,07/01/2024,Google Ads,New Launch,10930.28,128643,,142,36368.64
CMP0062,2024-05-20,Facebook Ads,Flash Sale,-200,167581,2144,16,
CMP0063,01/24/2024,Email,Diwali Offer,,70533,1815,76,38886.47
CMP0064,2024-08-25,Google Ads,Retargeting,9979.42,196219,1453,136,36456.75
CMP0065,2024-08-15,email,Diwali Offer,7353.47,125040,999,49,12615.19
CMP0066,09/07/2024,LinkedIn Ads,Retargeting,11411.55,,1091,,
CMP0067,17/02/2024,email,Retargeting,9152.81,159592,2066,29,22526.36
CMP0068,2024-05-17,Facebook Ads,Brand Awareness,11658.43,113777,2619,101,27696.29
CMP0069,01/04/2024,Instagram,Retargeting,,190017,-5,101,23464.61
CMP0070,01/16/2024,instagram,Diwali Offer,5924.38,70125,1762,59,4131.8
CMP0071,2024-08-20,Google Ads,Brand Awareness,3004.24,159520,,13,19239.5
CMP0072,2024-06-02,Google Ads,Retargeting,5965.41,39280,-5,150,25035.1
CMP0073,24/07/2024,instagram,Summer Sale,10244.48,27025,,86,38647.62
CMP0074,03/27/2024,Email,Flash Sale,7420.66,15107,,134,5879.21
CMP0075,23/01/2024,facebook ads,Retargeting,6277.15,162997,1972,105,36359.67
CMP0076,07/08/2024,Instagram,New Launch,7347.93,194223,2301,,35617.27
CMP0077,2024-07-25,instagram,Diwali Offer,12695.49,,1169,,2788.51
CMP0078,05/07/2024,email,Diwali Offer,-200,138882,1359,35,29996.93
CMP0079,04/05/2024,Email,Brand Awareness,-200,136318,1647,37,
CMP0080,02/07/2024,google ads,Retargeting,12049.55,170989,854,13,15892.29
CMP0081,02/20/2024,facebook ads,Retargeting,4578.22,10504,,,31890.49
CMP0082,16/01/2024,email,Flash Sale,9982.85,,,,
CMP0083,04/28/2024,facebook ads,Brand Awareness,,196047,2821,47,5277.31
CMP0084,02/13/2024,Facebook Ads,Diwali Offer,7918.4,,2535,66,25527.92
CMP0085,14/05/2024,Email,Retargeting,,167072,299,87,26613.83
CMP0086,10/02/2024,Email,Brand Awareness,2882.59,19810,-5,66,
CMP0087,2024-05-27,email,Flash Sale,9705.12,83267,,36,13914.97
CMP0088,01/09/2024,Instagram,Diwali Offer,6093.66,90358,2468,8,10666.69
CMP0089,06/11/2024,Email,New Launch,9866.18,195763,645,146,18420.32
CMP0090,18/04/2024,LinkedIn Ads,New Launch,12556.29,60712,1794,132,13658.47
CMP0091,05/22/2024,Email,Diwali Offer,-200,69647,,120,7447.74
CMP0092,04/28/2024,instagram,Retargeting,3046.68,127945,1798,131,24129.74
CMP0093,05/06/2024,facebook ads,Retargeting,2986.97,149472,625,,34736.84
CMP0094,2024-03-21,google ads,Retargeting,5000.37,85917,928,137,24008.79
CMP0095,2024-06-17,Email,Diwali Offer,6977.28,190734,699,52,26976.28
CMP0096,09/06/2024,Email,New Launch,9517.72,178929,78,8,
CMP0097,2024-02-20,Facebook Ads,Summer Sale,8704.02,52648,1422,131,7081.7
CMP0098,2024-04-11,Instagram,Brand Awareness,8319.86,,2641,33,19317.56
CMP0099,2024-08-04,Instagram,Flash Sale,10918.87,,1583,9,19211.98
CMP0100,2024-08-12,instagram,Summer Sale,12784.12,5330,-5,36,13906.05
CMP0101,2024-01-27,instagram,Summer Sale,3392.26,168689,540,114,10374.59
CMP0102,2024-02-10,Facebook Ads,Diwali Offer,1585.71,19784,1538,58,19179.95
CMP0103,03/05/2024,facebook ads,Diwali Offer,,109862,629,70,10742.35
CMP0104,04/08/2024,email,Flash Sale,2802.32,117601,965,116,22609.66
CMP0105,23/08/2024,facebook ads,Diwali Offer,3453.47,61765,2886,,36403.84
CMP0106,21/05/2024,LinkedIn Ads,Brand Awareness,-200,79700,,112,28985.13
CMP0107,07/08/2024,Google Ads,Retargeting,,123768,1022,50,5387.63
CMP0108,2024-08-19,google ads,New Launch,2666.99,103011,2989,,30034.31
CMP0109,03/03/2024,facebook ads,Retargeting,2061.05,132242,1877,125,14782.71
CMP0110,04/08/2024,Facebook Ads,Brand Awareness,13087.32,49495,2708,69,24055.59
CMP0111,2024-08-25,google ads,Brand Awareness,4514.48,98665,2965,106,4040.54
CMP0112,29/01/2024,instagram,Summer Sale,13740.98,59021,2895,60,
CMP0113,09/01/2024,email,Flash Sale,9020.23,107076,1644,40,37908.84
CMP0114,02/21/2024,facebook ads,Brand Awareness,4112.82,9721,916,107,15025.73
CMP0115,2024-08-07,instagram,Brand Awareness,10365.35,19226,545,59,
CMP0116,30/01/2024,email,Summer Sale,1675.32,198343,1844,29,
CMP0117,07/07/2024,Instagram,Diwali Offer,10056.96,18717,949,111,35966.91
CMP0118,04/27/2024,google ads,Flash Sale,,175724,2350,68,13726.43
CMP0119,21/05/2024,Facebook Ads,New Launch,3445.0,81433,,76,21784.98
CMP0120,23/05/2024,google ads,Flash Sale,4712.71,155185,2544,22,15164.43
CMP0121,2024-04-09,facebook ads,Flash Sale,7328.61,109714,,14,10251.64
CMP0122,10/08/2024,google ads,Diwali Offer,14099.87,13714,,13,
CMP0123,2024-01-19,Instagram,Diwali Offer,,,320,42,11398.09
CMP0124,2024-04-05,Google Ads,Retargeting,9860.38,36982,,25,29763.57
CMP0125,2024-02-27,email,New Launch,3410.95,51912,2727,97,38500.63
CMP0126,2024-01-15,LinkedIn Ads,Summer Sale,1254.75,45209,1905,39,7277.59
CMP0127,2024-07-14,instagram,Brand Awareness,13733.19,177923,2604,119,
CMP0128,2024-09-04,facebook ads,New Launch,4470.73,16850,1439,69,15233.45
CMP0129,2024-07-15,Google Ads,New Launch,12934.68,187716,-5,148,6399.27
CMP0130,2024-04-05,Google Ads,Summer Sale,13506.71,90929,1544,,16958.7
CMP0131,09/07/2024,Facebook Ads,New Launch,4374.43,189136,-5,42,16559.37
CMP0132,2024-04-23,instagram,Flash Sale,4030.03,35654,1087,34,38150.67
CMP0133,05/01/2024,Email,Brand Awareness,7045.9,157520,2214,80,31481.77
CMP0134,2024-06-15,google ads,New Launch,6848.28,165284,313,,34691.61
CMP0135,02/09/2024,google ads,Retargeting,12705.36,60471,1417,26,26418.67
CMP0136,03/11/2024,google ads,Diwali Offer,11118.95,,621,28,37732.26
CMP0137,2024-03-24,email,Brand Awareness,6432.54,54706,134,64,6324.3
CMP0138,08/05/2024,Instagram,Summer Sale,13765.82,182970,1369,147,38104.72
CMP0139,03/02/2024,Instagram,Diwali Offer,12146.63,13904,257,116,21679.63
CMP0140,28/03/2024,Instagram,Summer Sale,10797.0,,2258,117,20882.74
CMP0141,07/21/2024,Email,Brand Awareness,7758.17,64801,700,93,11529.94
CMP0142,08/07/2024,Google Ads,Flash Sale,5021.98,160812,2606,43,12710.28
CMP0143,03/20/2024,facebook ads,Retargeting,5193.75,82195,-5,150,5688.39
CMP0144,14/03/2024,facebook ads,New Launch,-200,5476,840,73,35041.96
CMP0145,14/07/2024,LinkedIn Ads,New Launch,8144.0,19258,2085,46,25319.3
CMP0146,2024-02-02,Google Ads,Flash Sale,9208.28,112729,2232,,20763.03
CMP0147,05/09/2024,google ads,Flash Sale,3042.98,76553,1817,,27820.72
CMP0148,06/02/2024,Email,New Launch,2319.4,87184,1509,120,39440.01
CMP0149,09/05/2024,facebook ads,Retargeting,10364.04,,,25,11016.17
CMP0150,01/20/2024,Instagram,Summer Sale,14241.83,185049,2434,11,10906.94
CMP0151,02/05/2024,google ads,New Launch,,13130,-5,61,33947.59
CMP0152,2024-03-10,google ads,Retargeting,5101.76,96900,536,30,14599.85
CMP0153,06/27/2024,Google Ads,Brand Awareness,,118972,1795,18,31345.51
CMP0154,19/07/2024,facebook ads,Retargeting,6459.1,117486,,109,30832.64
CMP0155,08/24/2024,facebook ads,Brand Awareness,13660.65,127566,-5,29,27845.8
CMP0156,01/03/2024,Google Ads,Summer Sale,5383.01,,1525,67,18636.3
CMP0157,27/05/2024,Email,Summer Sale,8992.91,25164,1081,110,1694.02
CMP0158,04/28/2024,Email,Summer Sale,9865.55,66787,1080,27,
CMP0159,02/02/2024,Google Ads,Summer Sale,7258.91,69358,,58,32644.34
CMP0160,2024-01-31,email,Brand Awareness,8394.47,187048,2547,94,14975.79
CMP0161,06/02/2024,Instagram,Retargeting,,114295,1622,3,36439.48
CMP0162,26/01/2024,Instagram,New Launch,14507.5,19804,,,6052.67
CMP0163,04/28/2024,Facebook Ads,New Launch,2309.29,134819,866,145,3026.34
CMP0164,08/24/2024,Facebook Ads,Flash Sale,11464.13,13809,2108,96,34227.63
CMP0165,06/08/2024,instagram,Summer Sale,,41637,957,74,32554.52
CMP0166,2024-07-12,instagram,Summer Sale,13285.74,166386,1912,60,1818.67
CMP0167,28/02/2024,google ads,Retargeting,3049.28,24930,2642,103,
CMP0168,05/19/2024,Facebook Ads,Flash Sale,5654.48,165536,-5,20,37948.56
CMP0169,08/31/2024,google ads,Retargeting,5410.2,141984,2295,3,37598.05
CMP0170,2024-03-06,Instagram,Diwali Offer,14782.28,120534,2242,113,
CMP0171,2024-09-06,Instagram,Flash Sale,10543.49,88569,,82,14329.87
CMP0172,03/07/2024,instagram,Brand Awareness,5388.36,38028,-5,5,26824.47
CMP0173,07/09/2024,google ads,Flash Sale,14485.98,133320,2425,128,11300.14
CMP0174,2024-05-09,facebook ads,Brand Awareness,14524.16,184604,2422,54,32904.76
